"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2013",12.54569,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2014",12.81071,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2015",12.9083,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2016",12.82426,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2017",12.6849,
"AUS","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2013",7.643921,
"AUS","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2014",8.009437,
"AUS","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2015",7.964472,
"AUS","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2016",8.138488,
"AUS","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2017",8.148689,
"AUT","SELFEMPWNOEMP","MEN","PC_EMP","A","2013",7.044762,
"AUT","SELFEMPWNOEMP","MEN","PC_EMP","A","2014",6.716208,
"AUT","SELFEMPWNOEMP","MEN","PC_EMP","A","2015",7.078243,
"AUT","SELFEMPWNOEMP","MEN","PC_EMP","A","2016",6.98642,
"AUT","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2013",6.132026,
"AUT","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2014",5.901158,
"AUT","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2015",6.021841,
"AUT","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2016",5.629986,
"BEL","SELFEMPWNOEMP","MEN","PC_EMP","A","2013",11.84031,
"BEL","SELFEMPWNOEMP","MEN","PC_EMP","A","2014",11.25494,
"BEL","SELFEMPWNOEMP","MEN","PC_EMP","A","2015",11.71513,
"BEL","SELFEMPWNOEMP","MEN","PC_EMP","A","2016",11.66002,
"BEL","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2013",6.73673,
"BEL","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2014",6.783141,
"BEL","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2015",7.087139,
"BEL","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2016",6.851719,
"CAN","SELFEMPWNOEMP","MEN","PC_EMP","A","2013",10.49042,
"CAN","SELFEMPWNOEMP","MEN","PC_EMP","A","2014",10.51205,
"CAN","SELFEMPWNOEMP","MEN","PC_EMP","A","2015",10.37282,
"CAN","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2013",8.241064,
"CAN","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2014",8.153416,
"CAN","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2015",8.308084,
"CZE","SELFEMPWNOEMP","MEN","PC_EMP","A","2013",15.9294,
"CZE","SELFEMPWNOEMP","MEN","PC_EMP","A","2014",16.51891,
"CZE","SELFEMPWNOEMP","MEN","PC_EMP","A","2015",15.45474,
"CZE","SELFEMPWNOEMP","MEN","PC_EMP","A","2016",15.34431,
"CZE","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2013",9.787052,
"CZE","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2014",9.906128,
"CZE","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2015",9.578065,
"CZE","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2016",10.37416,
"DNK","SELFEMPWNOEMP","MEN","PC_EMP","A","2013",6.291657,
"DNK","SELFEMPWNOEMP","MEN","PC_EMP","A","2014",5.902326,
"DNK","SELFEMPWNOEMP","MEN","PC_EMP","A","2015",5.639205,
"DNK","SELFEMPWNOEMP","MEN","PC_EMP","A","2016",5.54707,"B"
"DNK","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2013",3.444984,
"DNK","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2014",3.272814,
"DNK","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2015",3.141238,
"DNK","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2016",3.090339,"B"
"FIN","SELFEMPWNOEMP","MEN","PC_EMP","A","2013",10.31112,
"FIN","SELFEMPWNOEMP","MEN","PC_EMP","A","2014",10.34653,
"FIN","SELFEMPWNOEMP","MEN","PC_EMP","A","2015",10.69563,
"FIN","SELFEMPWNOEMP","MEN","PC_EMP","A","2016",10.61868,
"FIN","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2013",6.201616,
"FIN","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2014",6.507258,
"FIN","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2015",6.446892,
"FIN","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2016",6.306306,
"FRA","SELFEMPWNOEMP","MEN","PC_EMP","A","2013",7.862887,
"FRA","SELFEMPWNOEMP","MEN","PC_EMP","A","2014",8.065542,"B"
"FRA","SELFEMPWNOEMP","MEN","PC_EMP","A","2015",8.063272,
"FRA","SELFEMPWNOEMP","MEN","PC_EMP","A","2016",8.346298,
"FRA","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2013",4.704423,
"FRA","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2014",5.22349,"B"
"FRA","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2015",5.162974,
"FRA","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2016",5.254816,
"DEU","SELFEMPWNOEMP","MEN","PC_EMP","A","2013",6.416666,
"DEU","SELFEMPWNOEMP","MEN","PC_EMP","A","2014",6.235445,
"DEU","SELFEMPWNOEMP","MEN","PC_EMP","A","2015",6.046683,
"DEU","SELFEMPWNOEMP","MEN","PC_EMP","A","2016",5.782815,
"DEU","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2013",4.667675,
"DEU","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2014",4.552993,
"DEU","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2015",4.397393,
"DEU","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2016",4.372609,
"GRC","SELFEMPWNOEMP","MEN","PC_EMP","A","2013",28.87585,
"GRC","SELFEMPWNOEMP","MEN","PC_EMP","A","2014",28.46375,
"GRC","SELFEMPWNOEMP","MEN","PC_EMP","A","2015",26.70541,
"GRC","SELFEMPWNOEMP","MEN","PC_EMP","A","2016",25.23664,
"GRC","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2013",19.6885,
"GRC","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2014",19.01702,
"GRC","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2015",18.21212,
"GRC","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2016",18.02437,
"HUN","SELFEMPWNOEMP","MEN","PC_EMP","A","2013",6.423602,
"HUN","SELFEMPWNOEMP","MEN","PC_EMP","A","2014",6.255959,
"HUN","SELFEMPWNOEMP","MEN","PC_EMP","A","2015",5.966524,
"HUN","SELFEMPWNOEMP","MEN","PC_EMP","A","2016",5.917084,
"HUN","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2013",4.410026,
"HUN","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2014",4.188089,
"HUN","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2015",4.399686,
"HUN","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2016",4.457404,
"ISL","SELFEMPWNOEMP","MEN","PC_EMP","A","2013",9.545983,
"ISL","SELFEMPWNOEMP","MEN","PC_EMP","A","2014",10.19473,
"ISL","SELFEMPWNOEMP","MEN","PC_EMP","A","2015",10.32187,
"ISL","SELFEMPWNOEMP","MEN","PC_EMP","A","2016",9.322034,
"ISL","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2013",5.786163,
"ISL","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2014",6.127451,
"ISL","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2015",5.727924,
"ISL","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2016",5.158265,
"IRL","SELFEMPWNOEMP","MEN","PC_EMP","A","2013",16.19272,
"IRL","SELFEMPWNOEMP","MEN","PC_EMP","A","2014",15.97793,
"IRL","SELFEMPWNOEMP","MEN","PC_EMP","A","2015",15.3914,
"IRL","SELFEMPWNOEMP","MEN","PC_EMP","A","2016",14.90174,
"IRL","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2013",4.491476,
"IRL","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2014",4.654952,
"IRL","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2015",4.722886,
"IRL","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2016",4.694576,
"ITA","SELFEMPWNOEMP","MEN","PC_EMP","A","2013",18.76828,
"ITA","SELFEMPWNOEMP","MEN","PC_EMP","A","2014",18.5973,
"ITA","SELFEMPWNOEMP","MEN","PC_EMP","A","2015",18.40255,
"ITA","SELFEMPWNOEMP","MEN","PC_EMP","A","2016",17.88793,
"ITA","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2013",11.83353,
"ITA","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2014",12.39425,
"ITA","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2015",11.99918,
"ITA","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2016",11.93814,
"JPN","SELFEMPWNOEMP","MEN","PC_EMP","A","2013",5.729436,
"JPN","SELFEMPWNOEMP","MEN","PC_EMP","A","2014",5.7419,
"JPN","SELFEMPWNOEMP","MEN","PC_EMP","A","2015",5.593837,
"JPN","SELFEMPWNOEMP","MEN","PC_EMP","A","2016",5.354896,
"JPN","SELFEMPWNOEMP","MEN","PC_EMP","A","2017",5.283568,
"JPN","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2013",3.110568,
"JPN","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2014",3.17788,
"JPN","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2015",2.923285,
"JPN","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2016",2.767195,
"JPN","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2017",2.773592,
"KOR","SELFEMPWNOEMP","MEN","PC_EMP","A","2013",19.90668,
"KOR","SELFEMPWNOEMP","MEN","PC_EMP","A","2014",19.34093,
"KOR","SELFEMPWNOEMP","MEN","PC_EMP","A","2015",18.50912,
"KOR","SELFEMPWNOEMP","MEN","PC_EMP","A","2016",18.68139,
"KOR","SELFEMPWNOEMP","MEN","PC_EMP","A","2017",18.57246,
"KOR","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2013",11.81628,
"KOR","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2014",11.44875,
"KOR","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2015",11.04423,
"KOR","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2016",10.65323,
"KOR","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2017",10.82324,
"LUX","SELFEMPWNOEMP","MEN","PC_EMP","A","2013",5.247149,
"LUX","SELFEMPWNOEMP","MEN","PC_EMP","A","2014",5.671642,
"LUX","SELFEMPWNOEMP","MEN","PC_EMP","A","2015",5.010737,"B"
"LUX","SELFEMPWNOEMP","MEN","PC_EMP","A","2016",5.352113,
"LUX","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2013",5.358852,
"LUX","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2014",5.23897,
"LUX","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2015",5.199306,"B"
"LUX","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2016",4.940375,
"MEX","SELFEMPWNOEMP","MEN","PC_EMP","A","2013",20.37128,
"MEX","SELFEMPWNOEMP","MEN","PC_EMP","A","2014",20.27056,
"MEX","SELFEMPWNOEMP","MEN","PC_EMP","A","2015",19.96691,
"MEX","SELFEMPWNOEMP","MEN","PC_EMP","A","2016",19.82662,
"MEX","SELFEMPWNOEMP","MEN","PC_EMP","A","2017",20.12588,
"MEX","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2013",21.87495,
"MEX","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2014",21.1898,
"MEX","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2015",21.47647,
"MEX","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2016",21.64183,
"MEX","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2017",20.95284,
"NLD","SELFEMPWNOEMP","MEN","PC_EMP","A","2013",12.6243,
"NLD","SELFEMPWNOEMP","MEN","PC_EMP","A","2014",12.83743,
"NLD","SELFEMPWNOEMP","MEN","PC_EMP","A","2015",12.9739,
"NLD","SELFEMPWNOEMP","MEN","PC_EMP","A","2016",13.03901,
"NLD","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2013",9.006482,
"NLD","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2014",9.366525,
"NLD","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2015",9.912413,
"NLD","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2016",9.826845,
"NZL","SELFEMPWNOEMP","MEN","PC_EMP","A","2013",12.54613,
"NZL","SELFEMPWNOEMP","MEN","PC_EMP","A","2014",13.89499,
"NZL","SELFEMPWNOEMP","MEN","PC_EMP","A","2015",12.93425,
"NZL","SELFEMPWNOEMP","MEN","PC_EMP","A","2016",13.62878,
"NZL","SELFEMPWNOEMP","MEN","PC_EMP","A","2017",13.90056,
"NZL","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2013",9.454374,
"NZL","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2014",10.18435,
"NZL","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2015",9.786951,
"NZL","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2016",10.81586,
"NZL","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2017",12.63054,
"NOR","SELFEMPWNOEMP","MEN","PC_EMP","A","2013",5.963824,
"NOR","SELFEMPWNOEMP","MEN","PC_EMP","A","2014",6.077722,
"NOR","SELFEMPWNOEMP","MEN","PC_EMP","A","2015",5.636336,
"NOR","SELFEMPWNOEMP","MEN","PC_EMP","A","2016",5.589454,
"NOR","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2013",3.004005,
"NOR","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2014",3.292521,
"NOR","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2015",3.486739,
"NOR","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2016",3.261852,
"POL","SELFEMPWNOEMP","MEN","PC_EMP","A","2013",16.72363,
"POL","SELFEMPWNOEMP","MEN","PC_EMP","A","2014",16.74955,
"POL","SELFEMPWNOEMP","MEN","PC_EMP","A","2015",16.96739,
"POL","SELFEMPWNOEMP","MEN","PC_EMP","A","2016",16.83949,
"POL","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2013",10.6024,
"POL","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2014",10.2331,
"POL","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2015",10.59357,
"POL","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2016",10.19722,
"PRT","SELFEMPWNOEMP","MEN","PC_EMP","A","2013",13.63701,
"PRT","SELFEMPWNOEMP","MEN","PC_EMP","A","2014",12.31629,
"PRT","SELFEMPWNOEMP","MEN","PC_EMP","A","2015",11.29801,
"PRT","SELFEMPWNOEMP","MEN","PC_EMP","A","2016",11.04977,
"PRT","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2013",10.43738,
"PRT","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2014",8.705218,
"PRT","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2015",8.273787,
"PRT","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2016",7.745697,
"SVK","SELFEMPWNOEMP","MEN","PC_EMP","A","2013",15.87486,
"SVK","SELFEMPWNOEMP","MEN","PC_EMP","A","2014",15.39226,
"SVK","SELFEMPWNOEMP","MEN","PC_EMP","A","2015",14.78989,
"SVK","SELFEMPWNOEMP","MEN","PC_EMP","A","2016",14.93782,
"SVK","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2013",7.926948,
"SVK","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2014",7.950835,
"SVK","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2015",8.17722,
"SVK","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2016",8.509098,
"ESP","SELFEMPWNOEMP","MEN","PC_EMP","A","2013",14.60663,
"ESP","SELFEMPWNOEMP","MEN","PC_EMP","A","2014",14.46315,
"ESP","SELFEMPWNOEMP","MEN","PC_EMP","A","2015",14.00889,
"ESP","SELFEMPWNOEMP","MEN","PC_EMP","A","2016",13.60114,
"ESP","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2013",8.745992,
"ESP","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2014",8.581842,
"ESP","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2015",8.686191,
"ESP","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2016",8.609247,
"SWE","SELFEMPWNOEMP","MEN","PC_EMP","A","2013",7.297855,
"SWE","SELFEMPWNOEMP","MEN","PC_EMP","A","2014",7.164666,
"SWE","SELFEMPWNOEMP","MEN","PC_EMP","A","2015",7.021241,
"SWE","SELFEMPWNOEMP","MEN","PC_EMP","A","2016",6.600472,
"SWE","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2013",3.851621,
"SWE","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2014",3.806761,
"SWE","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2015",3.781081,
"SWE","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2016",3.678343,
"CHE","SELFEMPWNOEMP","MEN","PC_EMP","A","2013",6.40407,
"CHE","SELFEMPWNOEMP","MEN","PC_EMP","A","2014",6.4,
"CHE","SELFEMPWNOEMP","MEN","PC_EMP","A","2015",5.933622,
"CHE","SELFEMPWNOEMP","MEN","PC_EMP","A","2016",5.837769,
"CHE","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2013",6.251272,
"CHE","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2014",6.288619,
"CHE","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2015",6.514499,
"CHE","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2016",6.473537,
"TUR","SELFEMPWNOEMP","MEN","PC_EMP","A","2013",20.5314,
"TUR","SELFEMPWNOEMP","MEN","PC_EMP","A","2014",19.22045,"B"
"TUR","SELFEMPWNOEMP","MEN","PC_EMP","A","2015",18.6313,
"TUR","SELFEMPWNOEMP","MEN","PC_EMP","A","2016",18.53928,
"TUR","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2013",10.34432,
